step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
154,'C546957379','5','M','28007','M348934600','28007','es_transportation',0.18,0
154,'C1392385769','3','M','28007','M348934600','28007','es_transportation',16.89,0
154,'C1383269171','1','F','28007','M1823072687','28007','es_transportation',13.7,0
154,'C1395098424','2','F','28007','M1823072687','28007','es_transportation',25.3,0
154,'C1602759549','2','F','28007','M1823072687','28007','es_transportation',21.94,0
154,'C1501124312','4','M','28007','M1823072687','28007','es_transportation',5.04,0
154,'C16613795','2','F','28007','M1823072687','28007','es_transportation',8.01,0
154,'C1996918734','2','M','28007','M1823072687','28007','es_transportation',5.07,0
154,'C22162402','2','M','28007','M85975013','28007','es_food',15.03,0
154,'C1349106433','4','M','28007','M1823072687','28007','es_transportation',51.5,0
154,'C1266329800','4','F','28007','M1823072687','28007','es_transportation',2.44,0
154,'C1701939629','5','F','28007','M1823072687','28007','es_transportation',35.93,0
154,'C1771706228','4','F','28007','M348934600','28007','es_transportation',54.62,0
154,'C718801730','2','M','28007','M1823072687','28007','es_transportation',22.89,0
154,'C1142956269','4','M','28007','M348934600','28007','es_transportation',0.2,0
154,'C1855857061','4','F','28007','M1823072687','28007','es_transportation',37.38,0
154,'C1289081546','4','F','28007','M1823072687','28007','es_transportation',18.66,0
154,'C1474149613','2','M','28007','M1823072687','28007','es_transportation',19.28,0
154,'C831378949','2','M','28007','M1053599405','28007','es_health',102.1,0
154,'C1470676414','2','F','28007','M348934600','28007','es_transportation',21.97,0
154,'C791033780','6','F','28007','M85975013','28007','es_food',15.89,0
154,'C1978080967','2','M','28007','M348934600','28007','es_transportation',15.38,0
154,'C883419967','4','F','28007','M1823072687','28007','es_transportation',19.61,0
154,'C876777476','1','F','28007','M1823072687','28007','es_transportation',38.19,0
154,'C965952231','5','M','28007','M1823072687','28007','es_transportation',5.07,0
154,'C2111849765','2','M','28007','M1823072687','28007','es_transportation',0.32,0
154,'C626836922','5','F','28007','M1823072687','28007','es_transportation',33.73,0
154,'C693907036','3','M','28007','M348934600','28007','es_transportation',32.05,0
154,'C1508373758','3','M','28007','M1823072687','28007','es_transportation',8.63,0
154,'C1049957303','4','F','28007','M348934600','28007','es_transportation',56.78,0
154,'C11116138','2','F','28007','M1823072687','28007','es_transportation',29.65,0
154,'C1813823560','3','F','28007','M348934600','28007','es_transportation',14.02,0
154,'C1262879702','1','M','28007','M209847108','28007','es_wellnessandbeauty',39.53,0
154,'C1612487865','3','M','28007','M85975013','28007','es_food',105.52,0
154,'C797980818','3','M','28007','M1823072687','28007','es_transportation',49.36,0
154,'C78631448','1','F','28007','M348934600','28007','es_transportation',25.38,0
154,'C1214964999','5','F','28007','M348934600','28007','es_transportation',38.1,0
154,'C311188483','5','M','28007','M1823072687','28007','es_transportation',8.16,0
154,'C1335108214','3','M','28007','M1823072687','28007','es_transportation',38.98,0
154,'C1798103026','4','F','28007','M1823072687','28007','es_transportation',2.39,0
154,'C300112558','1','F','28007','M348934600','28007','es_transportation',49.13,0
154,'C416655198','2','F','28007','M1823072687','28007','es_transportation',49.45,0
154,'C1689772812','2','M','28007','M1823072687','28007','es_transportation',32.51,0
154,'C2038427935','3','F','28007','M348934600','28007','es_transportation',14.98,0
154,'C725705195','1','F','28007','M1842530320','28007','es_tech',136.77,0
154,'C1791524453','2','F','28007','M348934600','28007','es_transportation',7.64,0
154,'C1108967401','1','M','28007','M1053599405','28007','es_health',54.63,0
154,'C1108967401','1','M','28007','M1913465890','28007','es_health',72.58,0
154,'C1802570035','4','F','28007','M348934600','28007','es_transportation',18.47,0
154,'C489708690','6','F','28007','M1823072687','28007','es_transportation',42.62,0
154,'C915430510','2','F','28007','M1823072687','28007','es_transportation',33.02,0
154,'C1514271157','2','M','28007','M85975013','28007','es_food',42.08,0
154,'C1902837467','4','M','28007','M1823072687','28007','es_transportation',7.57,0
154,'C1100053869','2','M','28007','M1823072687','28007','es_transportation',46.13,0
154,'C966214713','3','M','28007','M348934600','28007','es_transportation',5.96,0
154,'C1508025585','5','F','28007','M85975013','28007','es_food',39.55,0
154,'C278501873','2','F','28007','M1842530320','28007','es_tech',86.29,0
154,'C1963238862','2','F','28007','M855959430','28007','es_hyper',10.0,0
154,'C2110532720','3','F','28007','M348934600','28007','es_transportation',29.2,0
154,'C1695454092','2','M','28007','M1823072687','28007','es_transportation',40.15,0
154,'C474894075','4','F','28007','M1823072687','28007','es_transportation',48.53,0
154,'C56690195','2','M','28007','M1823072687','28007','es_transportation',28.87,0
